repo,category,sub,rust_signal,description
Kernel-Projects,meta,,,
Platform-Chromium-Projects,meta,,,"Parent projects for all projects with suffix platform/external/chromium_org.  These projects are largely read-only, but may need the occasional commit."
Platform-Packages-Modules-Projects,meta,,,Bug: 232410097
Platform-Projects,meta,,,"Base project for all active Android platform projects, containing rights that all platform maintainers have for all projects."
Platform-Unrestricted-Projects,meta,,,Base project for Android platform where all platform maintainers have full approval and submit rights.
Public-Projects,meta,,,
accessories/manifest,meta,,,
assets/android-studio-ux-assets,aosp,assets/android-studio-ux-assets,,Bug: 32992167
brillo/manifest,meta,,,
cts_drno_filter,meta,,,Parent project for CTS projects that requires Dr.No +2's.
device/aaeon/upboard,vendor_device,device/aaeon,,
device/amlogic/yukawa,vendor_device,device/amlogic,androidbp,Bug: 122486287
device/amlogic/yukawa-kernel,vendor_device,device/amlogic,,Bug: 122486287
device/asus/deb,vendor_device,device/asus,,
device/asus/flo,vendor_device,device/asus,,
device/asus/flo-kernel,vendor_device,device/asus,,
device/asus/fugu,vendor_device,device/asus,,
device/asus/fugu-kernel,vendor_device,device/asus,,
device/asus/grouper,vendor_device,device/asus,,Files specific to Nexus 7
device/asus/tilapia,vendor_device,device/asus,,
device/casio/koi-uboot,vendor_device,device/casio,,
device/common,vendor_device,device/common,,
device/freescale/picoimx,vendor_device,device/freescale,,b/26753464
device/generic/arm64,vendor_device,device/generic,,
device/generic/armv7-a,vendor_device,device/generic,,
device/generic/armv7-a-neon,vendor_device,device/generic,,
device/generic/art,vendor_device,device/generic,,
device/generic/brillo,vendor_device,device/generic,,
device/generic/car,vendor_device,device/generic,androidbp,
device/generic/common,vendor_device,device/generic,androidbp,"GSI This document introduces special GSI settings for facilitating xTS-on-GSI with a single image. Support system_dlkm partition [BoardConfigGsiCommon.mk] BOARD_USES_SYSTEM_DLKMIMAGE := true BOARD_SYSTEM_DLKMIMAGE_FILE_SYSTEM_TYPE := ext4 TARGET_COPY_OUT_SYSTEM_DLKM := system_dlkm [gsi_release.mk] PRODUCT_BUILD_SYSTEM_DLKM_IMAGE := false Starting from Android 13, all devices must include a system_dlkm partition . GSI enables system_dlkm to support the devices with system_dlkm partition, and be compatible with old devices without a system_dlkm partition. With these configurations, /system/system_dlkm would not be created. Instead, a /system/lib/modules -> /system_dlkm/lib/modules symlink is created. For device without system_dlkm partition, the symlink would be dangling. The dangling symlink shouldn‘t be followed anyway because the device doesn’t use system_dlkm. For device with system_dlkm, they can load modules via that path normally like when they are using their original system imag"
device/generic/goldfish,vendor_device,device/generic,androidbp,
device/generic/goldfish-opengl,vendor_device,device/generic,androidbp,
device/generic/mini-emulator-arm64,vendor_device,device/generic,,
device/generic/mini-emulator-armv7-a-neon,vendor_device,device/generic,,
device/generic/mini-emulator-mips,vendor_device,device/generic,,
device/generic/mini-emulator-mips64,vendor_device,device/generic,,
device/generic/mini-emulator-x86,vendor_device,device/generic,,
device/generic/mini-emulator-x86_64,vendor_device,device/generic,,
device/generic/mips,vendor_device,device/generic,,
device/generic/mips64,vendor_device,device/generic,,
device/generic/opengl-transport,vendor_device,device/generic,,Bug: 114497418
device/generic/qemu,vendor_device,device/generic,,
device/generic/trusty,vendor_device,device/generic,androidbp,Bug: 122274911
device/generic/uml,vendor_device,device/generic,,
device/generic/vulkan-cereal,vendor_device,device/generic,,Bug: 128354419
device/generic/x86,vendor_device,device/generic,,
device/generic/x86_64,vendor_device,device/generic,,
device/google/accessory/adk2012,vendor_device,device/google,,
device/google/accessory/adk2012_demo,vendor_device,device/google,,
device/google/accessory/arduino,vendor_device,device/google,,Android accessory support - arduino files.
device/google/accessory/demokit,vendor_device,device/google,,Android accessory support - demo kit.
device/google/akita,vendor_device,device/google,androidbp,Bug: 334754634
device/google/akita-kernel,vendor_device,device/google,,Bug: 334754634
device/google/akita-kernels/5.15,vendor_device,device/google,,Bug: 357762254
device/google/akita-kernels/6.1,vendor_device,device/google,,Bug: 372344643
device/google/akita-sepolicy,vendor_device,device/google,,Bug: 334754634
device/google/atv,vendor_device,device/google,androidbp,
device/google/barbet,vendor_device,device/google,androidbp,Bug: 190208935
device/google/barbet-kernel,vendor_device,device/google,,Bug: 190208935
device/google/barbet-sepolicy,vendor_device,device/google,,Bug: 190208935
device/google/bluejay,vendor_device,device/google,androidbp,Bug: 228757395
device/google/bluejay-kernel,vendor_device,device/google,,Bug: 228757395
device/google/bluejay-kernels/5.10,vendor_device,device/google,,Bug: 357762254
