repo,prefix,status,rust_signal,description,top_level
Kernel-Projects,Kernel-Projects,restricted,,,
Platform-Chromium-Projects,Platform-Chromium-Projects,restricted,,"Parent projects for all projects with suffix platform/external/chromium_org.  These projects are largely read-only, but may need the occasional commit.",
Platform-Packages-Modules-Projects,Platform-Packages-Modules-Projects,ok,,Bug: 232410097,"[{""type"": ""file"", ""name"": ""groups""}, {""type"": ""file"", ""name"": ""project.config""}]"
Platform-Projects,Platform-Projects,restricted,,"Base project for all active Android platform projects, containing rights that all platform maintainers have for all projects.",
Platform-Unrestricted-Projects,Platform-Unrestricted-Projects,restricted,,Base project for Android platform where all platform maintainers have full approval and submit rights.,
Public-Projects,Public-Projects,restricted,,,
accessories/manifest,accessories,ok,,,"[{""type"": ""file"", ""name"": ""default.xml""}]"
assets/android-studio-ux-assets,assets,empty_ok,,Bug: 32992167,[]
brillo/manifest,brillo,ok,,,"[{""type"": ""file"", ""name"": ""default.xml""}]"
cts_drno_filter,cts_drno_filter,restricted,,Parent project for CTS projects that requires Dr.No +2's.,
device/aaeon/upboard,device,empty_ok,,,[]
